title,price,img,description
Toyota Land Cruiser Prado,$34900,https://im.mashina.kg/tachka/images//a/8/3/a838d7e10387d789ed8717e4d17a3792_240x180.jpg,Описание отсутствует
Kia K7,$21500,https://im.mashina.kg/tachka/images//4/4/8/448bfaf22e55b17b660c2c40b959d44f_240x180.jpg,"Машина в идеальном состоянии 
Прибил 20.12.23 ! 
Растаможен ! 
Отдаём ниже рыночной ! Срочная цена !
Торг у капота ! 


"
Kia K9,$40000,https://im.mashina.kg/tachka/images//1/1/7/1173c6620021d6c10668cb3ef45cf04b_240x180.jpg,"KIA K9
Год: 2022
Пробег: 28тыс. км
Объём: 3.8 бензин
Привод: Полный привод
В самой полной комплектации:
Датчик удержания полосы, дистроник, диодная led-оптика, акустика KRELL, задние шторки на дверях и на заднем лобовом, подогревы и обдувы всех сидений, камера 360, коричневый кож. салон, 4-х зонный климат-контроль, люк, мульти-руль комбинированный с кожей и деревом, обогрев руля
Цена : 40.000$
Телефон: +996 888 200000"
Porsche Macan,$37500,https://im.mashina.kg/tachka/images//6/7/e/67ecd9b642c57ca3bc500f4ce5fc8ad6_240x180.jpg,"Эксклюзивное авто
Porsche Macan
Год: 2019
Пробег: 44тыс. км оригинал
Объем: 2.0 турбо
Несколько режимов езды, подогревы сидений, датчик удержания полосы, off road режим, большой монитор, панорамная крыша, светлый кож. салон, дистроник, 2-х зонный климат-контроль и многое др.
Авто из Кореи 
В отличном техническом состоянии!!
Цена: 37.500$
Контакты: +996 888 200 000"
Lexus RX,$54000,https://im.mashina.kg/tachka/images//1/2/b/12b84e15de029e9cb92481dc1f9b9945_240x180.jpg,Срочно нужны деньги 
Toyota Land Cruiser,$95000,https://im.mashina.kg/tachka/images//0/f/e/0feb16ef69b0d80c4079640b4378adc6_240x180.jpg,"Продaм aвтомобиль 
LАND - СRUISЕR 200 
Чистый Японец
Все TО у oфициальнoго дилера.
Год выпускa-2019 с оригинальным пробегом!!!
Oдин xoзяин.
Koмлектация - ТRD
Cамая Мaксимaльная!!!
В oтличнoм сoстoянии 
Без вложении, ТО все пройдены 100%!!!
В pоднoм окpaскe, без дтп!!!
"
Geely Monjaro,$29300,https://im.mashina.kg/tachka/images//9/8/d/98d72a47903d9b55a2f91c94059f2445_240x180.jpg,Описание отсутствует
Polestar 1,$58500,https://im.mashina.kg/tachka/images//c/c/1/cc195fe5688bdbe139da6930b6a57c40_240x180.jpg,Описание отсутствует
Tesla Model 3,$31500,https://im.mashina.kg/tachka/images//9/9/e/99e6ef74023c597087233ff3e7d7c314_240x180.jpg,"Tesla Model 3 Long Range 
Год: 2020
Пробег: 16 000 км
Емкость батареи 
Запас хода: 500 км
Разгон от 0-100 за 4.4 секунды
Максимальная скорость: 233км/ч
Привод: Полный 
Машина из Корее в отличном состоянии
Покупалась для себя, машина в отличном техническом состоянии, панорамная крыша, черный кож. салон, отделка салона из дерева, диски R18.
Ездил по городу, электросистема в идеальном состоянии 
Кузов весь в родном окрасе 
Цена: 31500$
Контакты: +996508507800"
Hyundai Palisade,$39000,https://im.mashina.kg/tachka/images//c/5/a/c5a0f3eb9383c0bdb685859ff34f762c_240x180.jpg,"Принимаю в оплату рубли по курсу ММВБ Hyundai Palisade свежепригнан из Южной Кореи принимаю оплату в Рублях
2022, 2.2 diesel турбо, 4WD полный привод
Белый окрас
Комплектация - Calligraphy 
Родной окрас
Пробег 60000 (родной)
- цифровой щиток приборов
- проекция на лобовое
- два панорамных люка, потолок алькантара
- розетка 220 вт
- 3 ряда сидений
- капитанские сиденья
- обдув и подогрев передних и задних сидений, подогрев руля
- контроль слепых зон
- датчики слежения полосы
- камера обзора 360°
- мультимедийная система Krell
- датчики парковки по кругу
- датчики света и дождя
- смарт ключ, автозавод
- беспроводная зарядка
- шторки
- автосвет (авто дальний-ближний)"
